State,Quarter,DayTrips,Expenditure
New South Wales,March 2025,19804,3101
New South Wales,June 2025,20806,3420
New South Wales,September 2025,21874,3895
New South Wales,December 2025,21550,3990
Victoria,March 2025,20530,3133
Victoria,June 2025,20790,3355
Victoria,September 2025,21648,3774
Victoria,December 2025,21570,3810
Queensland,March 2025,12327,1839
Queensland,June 2025,14176,2339
Queensland,September 2025,14917,2504
Queensland,December 2025,13945,2487
South Australia,March 2025,3909,573
South Australia,June 2025,4024,650
South Australia,September 2025,4252,762
South Australia,December 2025,4201,803
Western Australia,March 2025,6857,1057
Western Australia,June 2025,7233,1077
Western Australia,September 2025,7524,1206
Western Australia,December 2025,7473,1264
Tasmania,March 2025,1172,157
Tasmania,June 2025,1131,150
Tasmania,September 2025,1148,161
Tasmania,December 2025,1200,185
Northern Territory,March 2025,264,48
Northern Territory,June 2025,351,77
Northern Territory,September 2025,329,72
Northern Territory,December 2025,276,63
Australian Capital Territory,March 2025,483,103
Australian Capital Territory,June 2025,505,114
Australian Capital Territory,September 2025,570,126
Australian Capital Territory,December 2025,527,116